number of iterations required: 161
---utility for each state (row, column)---
(3, 66) - utility: 75.438
(3, 67) - utility: 75.480
(3, 68) - utility: 74.189
(3, 69) - utility: 73.960
(3, 70) - utility: 72.387
(3, 71) - utility: 72.314
(3, 72) - utility: 71.032
(3, 75) - utility: 72.550
(3, 76) - utility: 72.400
(3, 77) - utility: 72.398
(3, 78) - utility: 71.078
(3, 79) - utility: 69.725
(3, 81) - utility: 71.679
(3, 82) - utility: 73.118
(3, 83) - utility: 71.596
(3, 84) - utility: 72.934
(3, 85) - utility: 73.038
(3, 86) - utility: 71.988
(3, 87) - utility: 70.911
(3, 88) - utility: 71.036
(3, 89) - utility: 69.563
(3, 90) - utility: 68.295
(3, 91) - utility: 68.279
(3, 92) - utility: 67.298
(3, 93) - utility: 68.690
(3, 94) - utility: 69.851
(3, 95) - utility: 71.171
(3, 96) - utility: 71.603
(3, 97) - utility: 71.038
(3, 98) - utility: 72.600
(3, 99) - utility: 74.082
(4, 0) - utility: 67.884
(4, 1) - utility: 69.631
(4, 2) - utility: 70.813
(4, 4) - utility: 70.998
(4, 5) - utility: 69.939
(4, 6) - utility: 68.752
(4, 7) - utility: 67.595
(4, 9) - utility: 73.813
(4, 10) - utility: 72.717
(4, 11) - utility: 71.429
(4, 13) - utility: 68.596
(4, 14) - utility: 71.075
(4, 15) - utility: 72.408
(4, 17) - utility: 70.980
(4, 18) - utility: 72.177
(4, 20) - utility: 71.841
(4, 21) - utility: 72.904
(4, 22) - utility: 72.943
(4, 23) - utility: 75.305
(4, 24) - utility: 75.833
(4, 25) - utility: 76.946
(4, 27) - utility: 79.972
(4, 28) - utility: 77.154
(4, 30) - utility: 72.753
(4, 31) - utility: 70.576
(4, 32) - utility: 69.258
(4, 34) - utility: 73.068
(4, 35) - utility: 72.469
(4, 36) - utility: 74.808
(4, 38) - utility: 73.123
(4, 39) - utility: 73.190
(4, 40) - utility: 72.538
(4, 41) - utility: 71.435
(4, 43) - utility: 76.234
(4, 44) - utility: 75.108
(4, 47) - utility: 78.735
(4, 48) - utility: 77.458
(4, 49) - utility: 76.169
(4, 50) - utility: 74.883
(4, 53) - utility: 69.058
(4, 54) - utility: 67.805
(4, 55) - utility: 66.497
(4, 56) - utility: 65.262
(4, 57) - utility: 65.550
(4, 58) - utility: 66.409
(4, 59) - utility: 67.445
(4, 60) - utility: 69.683
(4, 61) - utility: 70.948
(4, 62) - utility: 72.212
(4, 63) - utility: 73.515
(4, 64) - utility: 72.767
(4, 65) - utility: 74.279
(4, 66) - utility: 75.386
(4, 67) - utility: 75.460
(4, 68) - utility: 73.951
(4, 69) - utility: 72.743
(4, 70) - utility: 71.452
(4, 71) - utility: 72.207
(4, 72) - utility: 71.200
(4, 74) - utility: 76.573
(4, 75) - utility: 74.989
(4, 76) - utility: 73.588
(4, 77) - utility: 72.363
(4, 78) - utility: 70.673
(4, 79) - utility: 69.793
(4, 80) - utility: 70.974
(4, 81) - utility: 72.147
(4, 82) - utility: 73.389
(4, 83) - utility: 73.647
(4, 84) - utility: 74.301
(4, 85) - utility: 74.396
(4, 86) - utility: 73.078
(4, 87) - utility: 71.780
(4, 89) - utility: 68.295
(4, 90) - utility: 67.374
(4, 91) - utility: 68.224
(4, 92) - utility: 67.342
(4, 93) - utility: 68.611
(4, 94) - utility: 69.752
(4, 95) - utility: 68.910
(4, 97) - utility: 68.858
(4, 98) - utility: 70.350
(4, 99) - utility: 72.600
(5, 0) - utility: 65.541
(5, 2) - utility: 70.629
(5, 3) - utility: 68.211
(5, 5) - utility: 69.906
(5, 6) - utility: 68.625
(5, 8) - utility: 72.581
(5, 9) - utility: 73.798
(5, 10) - utility: 73.727
(5, 12) - utility: 75.590
(5, 15) - utility: 73.793
(5, 16) - utility: 73.169
(5, 17) - utility: 73.242
(5, 18) - utility: 74.753
(5, 19) - utility: 73.521
(5, 20) - utility: 74.130
(5, 21) - utility: 72.917
(5, 22) - utility: 72.397
(5, 23) - utility: 73.598
(5, 24) - utility: 75.888
(5, 28) - utility: 74.523
(5, 29) - utility: 73.130
(5, 30) - utility: 71.878
(5, 31) - utility: 69.596
(5, 32) - utility: 68.120
(5, 33) - utility: 70.323
(5, 34) - utility: 71.651
(5, 35) - utility: 71.308
(5, 37) - utility: 70.644
(5, 38) - utility: 71.773
(5, 40) - utility: 73.807
(5, 42) - utility: 77.911
